标题,结束时间,拍卖状态,成交价格,报名人数,提醒人数,围观次数,起拍价,加价幅度,保证金,佣金,延时周期,保留价,送拍机构,特色服务
【第一次拍卖】安龙县新安镇杨柳街1幢2单元6楼2号砖混房屋一套,2016/01/02 15:00:00,流拍,"209,851.7",1,4,2170,"209,851.7","3,000","20,000",无,5分钟/次,有,无,无
【第三次拍卖】建德市寿昌镇东昌北路90号住宅房产,2016/01/02 10:53:12,已成交,"720,000",3,12,2509,"570,000","5,000","100,000",无,5分钟/次,有,无,无
【重新拍卖】杭州市西湖区金海公寓3幢4单元601室房屋可贷款可贷款,2016/01/02 10:39:52,已成交,"1,115,000",9,69,6444,"800,000","5,000","200,000",无,5分钟/次,有,无,无
【第二次拍卖】大亚湾西区石化大道中512号星河半岛花园3栋17层06号房产,2016/01/02 10:35:11,已成交,"390,440",5,55,5349,"368,040",800,"30,000",无,5分钟/次,有,无,无
【第三次拍卖】新安江街道环城北路?金地家园3幢1-502室住宅房地产,2016/01/02 10:33:51,已成交,"1,300,000",6,36,4131,"920,000","10,000","100,000",无,5分钟/次,有,无,无
【第二次拍卖】泗阳县盛世嘉园15幢604室住宅房地产及装潢（含车库、阁楼）,2016/01/02 10:27:37,已成交,"411,720",5,29,3161,"360,720","1,000","30,000",无,5分钟/次,有,无,无
【第三次拍卖】杭州市西湖区城北商贸园22幢1单元302室可贷款可贷款,2016/01/02 10:24:47,已成交,"924,880",2,61,4573,"794,880","5,000","300,000",无,5分钟/次,有,无,无
【第二次拍卖】建德市半岛国际1602、1603、1605、1606室房地产,2016/01/02 10:18:17,已成交,"1,200,000",4,11,2971,"1,070,000","5,000","100,000",无,5分钟/次,有,无,无
【第三次拍卖】莆田市荔城区学园路北街108号锦峰龙园公寓1907号的房地产,2016/01/02 10:16:49,已成交,"965,000",10,80,6544,"610,000","5,000","80,000",无,5分钟/次,有,无,无
【第一次拍卖】连云港市海州区朝阳西路与江化路交叉口一宗工业国有出让建设用地,2016/01/02 10:14:50,已成交,"2,300,000",3,11,4124,"1,200,000","100,000","150,000",无,5分钟/次,有,无,无
【第三次拍卖】福州市仓山区上雁路56号金山碧水冬馨苑10#楼601复式单元不限购不限购,2016/01/02 10:13:49,已成交,"1,750,000",14,142,8881,"1,370,000","10,000","100,000",无,5分钟/次,有,无,无
【第三次拍卖】杭州市世纪新城26幢2单元402室房屋可贷款可贷款,2016/01/02 10:13:21,已成交,"3,430,000",8,89,6682,"2,300,000","5,000","500,000",无,5分钟/次,有,无,无
【第二次拍卖】杭州市下城区朝晖四小区54幢3单元702室房屋可贷款可贷款,2016/01/02 10:12:05,已成交,"990,000",3,50,5613,"960,000","5,000","300,000",无,5分钟/次,有,无,无
【第一次拍卖】绍兴市越城区君悦大厦2208室房产（含室内固定装饰装修）,2016/01/02 10:11:04,已成交,"466,880",3,10,2427,"442,880","2,000","45,000",无,5分钟/次,有,无,无
【第三次拍卖】徐州市中新.泉山森林海（一期）-1、YF29-4-402房产,2016/01/02 10:04:56,已成交,"371,200",9,44,4445,"320,000","3,200","32,000",无,5分钟/次,有,无,无
【第一次拍卖】三正特种纸业的房屋建筑物、土地使用权及地上附属物和办公家具,2016/01/02 10:03:13,已成交,"5,080,000",4,5,1935,"3,100,000","20,000","500,000",无,5分钟/次,有,无,无
【第三次拍卖】1566-3江都北路503号1幢106室的房产,2016/01/02 10:01:03,已成交,"380,000",2,17,2738,"380,000","10,000","60,000",无,5分钟/次,有,无,无
【第三次拍卖】拍卖新沂市北沟镇沭东大道北侧商住用地国有土地使用权,2016/01/02 10:00:02,已成交,"32,184,334",2,3,2116,"32,184,334","10,000","3,500,000",无,5分钟/次,有,无,无
